,drug_row,drug_col,cell_line_name,synergy_loewe
650568,2677.0,544.0,128.0,6.587773054333333
635249,4172.0,544.0,170.0,-17.738863586666668
623031,4172.0,544.0,107.0,4.452551507666667
623032,2677.0,544.0,107.0,1.608332268
650565,150.0,544.0,128.0,22.62858818
635250,2677.0,544.0,170.0,-16.37031508666667
650566,3186.0,544.0,128.0,4.271542771
650564,2063.0,544.0,128.0,20.964714706666665
623028,2063.0,544.0,107.0,5.195067088
635247,150.0,544.0,170.0,-7.070849937333333
650569,157.0,544.0,128.0,1.826816998
634625,4172.0,544.0,184.0,-25.93269116333333
635248,3186.0,544.0,170.0,-5.881162984333333
650561,829.0,544.0,128.0,11.523977893333331
650567,4172.0,544.0,128.0,10.023502966666667
634623,150.0,544.0,184.0,-21.840487056666664
