,drug_row,drug_col,cell_line_name,synergy_loewe
650568,2677.0,544.0,128.0,6.587773054333333
635247,150.0,544.0,170.0,-7.070849937333333
623030,3186.0,544.0,107.0,2.455574201
623031,4172.0,544.0,107.0,4.452551507666667
650562,827.0,544.0,128.0,38.35632177666667
635248,3186.0,544.0,170.0,-5.881162984333333
650566,3186.0,544.0,128.0,4.271542771
650561,829.0,544.0,128.0,11.523977893333331
623028,2063.0,544.0,107.0,5.195067088
634626,2677.0,544.0,184.0,-0.893693608
650569,157.0,544.0,128.0,1.826816998
634623,150.0,544.0,184.0,-21.840487056666664
634627,157.0,544.0,184.0,-23.230759586666665
635250,2677.0,544.0,170.0,-16.37031508666667
650567,4172.0,544.0,128.0,10.023502966666667
623033,157.0,544.0,107.0,9.252789807333334
