,drug_row,drug_col,cell_line_name,synergy_loewe
623026,827.0,544.0,107.0,10.123282653333334
635249,4172.0,544.0,170.0,-17.738863586666668
623031,4172.0,544.0,107.0,4.452551507666667
623027,828.0,544.0,107.0,-1.779699145333333
635247,150.0,544.0,170.0,-7.070849937333333
650565,150.0,544.0,128.0,22.62858818
623029,150.0,544.0,107.0,11.075345406666663
623030,3186.0,544.0,107.0,2.455574201
650563,828.0,544.0,128.0,24.772142966666667
650561,829.0,544.0,128.0,11.523977893333331
650568,2677.0,544.0,128.0,6.587773054333333
650569,157.0,544.0,128.0,1.826816998
634623,150.0,544.0,184.0,-21.840487056666664
634627,157.0,544.0,184.0,-23.230759586666665
635250,2677.0,544.0,170.0,-16.37031508666667
650564,2063.0,544.0,128.0,20.964714706666665
623032,2677.0,544.0,107.0,1.608332268
