,drug_row,drug_col,cell_line_name,synergy_loewe
650568,2677.0,544.0,128.0,6.587773054333333
635248,3186.0,544.0,170.0,-5.881162984333333
623028,2063.0,544.0,107.0,5.195067088
623029,150.0,544.0,107.0,11.075345406666663
650565,150.0,544.0,128.0,22.62858818
635249,4172.0,544.0,170.0,-17.738863586666668
650566,3186.0,544.0,128.0,4.271542771
650563,828.0,544.0,128.0,24.772142966666667
623027,828.0,544.0,107.0,-1.779699145333333
634627,157.0,544.0,184.0,-23.230759586666665
650569,157.0,544.0,128.0,1.826816998
634625,4172.0,544.0,184.0,-25.93269116333333
635247,150.0,544.0,170.0,-7.070849937333333
635251,157.0,544.0,170.0,-21.217728956666665
650567,4172.0,544.0,128.0,10.023502966666667
634624,3186.0,544.0,184.0,-8.864952962
