,drug_row,drug_col,cell_line_name,synergy_loewe
623027,828.0,544.0,107.0,-1.779699145333333
635247,150.0,544.0,170.0,-7.070849937333333
623031,4172.0,544.0,107.0,4.452551507666667
623028,2063.0,544.0,107.0,5.195067088
634626,2677.0,544.0,184.0,-0.893693608
650565,150.0,544.0,128.0,22.62858818
623029,150.0,544.0,107.0,11.075345406666663
623030,3186.0,544.0,107.0,2.455574201
650563,828.0,544.0,128.0,24.772142966666667
650561,829.0,544.0,128.0,11.523977893333331
650566,3186.0,544.0,128.0,4.271542771
650567,4172.0,544.0,128.0,10.023502966666667
623033,157.0,544.0,107.0,9.252789807333334
634625,4172.0,544.0,184.0,-25.93269116333333
635250,2677.0,544.0,170.0,-16.37031508666667
650564,2063.0,544.0,128.0,20.964714706666665
623032,2677.0,544.0,107.0,1.608332268
