,drug_row,drug_col,cell_line_name,synergy_loewe
650566,3186.0,544.0,128.0,4.271542771
634627,157.0,544.0,184.0,-23.230759586666665
623029,150.0,544.0,107.0,11.075345406666663
623030,3186.0,544.0,107.0,2.455574201
650562,827.0,544.0,128.0,38.35632177666667
635247,150.0,544.0,170.0,-7.070849937333333
650564,2063.0,544.0,128.0,20.964714706666665
650561,829.0,544.0,128.0,11.523977893333331
623027,828.0,544.0,107.0,-1.779699145333333
634625,4172.0,544.0,184.0,-25.93269116333333
650569,157.0,544.0,128.0,1.826816998
634623,150.0,544.0,184.0,-21.840487056666664
634626,2677.0,544.0,184.0,-0.893693608
635250,2677.0,544.0,170.0,-16.37031508666667
650565,150.0,544.0,128.0,22.62858818
623033,157.0,544.0,107.0,9.252789807333334
