,drug_row,drug_col,cell_line_name,synergy_loewe
650568,2677.0,544.0,128.0,6.587773054333333
635248,3186.0,544.0,170.0,-5.881162984333333
623029,150.0,544.0,107.0,11.075345406666663
623030,3186.0,544.0,107.0,2.455574201
650564,2063.0,544.0,128.0,20.964714706666665
635249,4172.0,544.0,170.0,-17.738863586666668
650565,150.0,544.0,128.0,22.62858818
650563,828.0,544.0,128.0,24.772142966666667
623028,2063.0,544.0,107.0,5.195067088
634626,2677.0,544.0,184.0,-0.893693608
650569,157.0,544.0,128.0,1.826816998
634624,3186.0,544.0,184.0,-8.864952962
635247,150.0,544.0,170.0,-7.070849937333333
650561,829.0,544.0,128.0,11.523977893333331
650566,3186.0,544.0,128.0,4.271542771
634623,150.0,544.0,184.0,-21.840487056666664
