,drug_row,drug_col,cell_line_name,synergy_loewe
631397,699.0,2199.0,68.0,-20.092091491035298
240476,949.0,1904.0,68.0,-6.47318800773136
240529,42.0,42.0,68.0,0.515777370438355
240511,1904.0,699.0,68.0,-20.1196179488391
631400,1378.0,699.0,68.0,-68.6165435963715
240521,1944.0,1688.0,68.0,1.51102819129064
240539,2930.0,2815.0,68.0,-9.50667730218572
240491,1784.0,2930.0,68.0,3.23701378865625
240518,2930.0,3912.0,68.0,1.65130319253125
631398,699.0,2930.0,68.0,-25.20735861150057
631409,4185.0,2199.0,68.0,-3.32268747847867
240478,42.0,1784.0,68.0,3.74944085819157
631422,3587.0,2930.0,68.0,-1.756823482494878
240538,3912.0,3912.0,68.0,-1.97457486559461
240494,1784.0,4086.0,68.0,1.13149648955025
631404,1378.0,2930.0,68.0,-7.395885682062434
240502,992.0,4086.0,68.0,-45.5021292046404
240523,699.0,4086.0,68.0,-15.8040486914175
240486,42.0,1688.0,68.0,-2.74567837350602
240542,2930.0,992.0,68.0,-47.9007196821286
240472,949.0,1944.0,68.0,-5.65339779291494
240492,1784.0,1944.0,68.0,-4.53372533830593
240517,2930.0,1688.0,68.0,-0.0074284033488006
240479,42.0,992.0,68.0,-36.5107505466172
631401,1378.0,2199.0,68.0,-18.6389026680923
240477,949.0,2930.0,68.0,0.88232637826274
240513,1904.0,1688.0,68.0,-33.5525833870265
631414,2815.0,1944.0,68.0,1.43216815252894
631402,1378.0,4185.0,68.0,-0.0819128726823939
240533,2930.0,2930.0,68.0,2.65439376874442
240526,4086.0,3912.0,68.0,5.51989819509691
631421,3587.0,2815.0,68.0,5.909166391341496
240490,1784.0,1904.0,68.0,-10.409069979796
240504,992.0,3912.0,68.0,-38.7092458500058
240520,1944.0,4086.0,68.0,5.8383035960323
240503,992.0,1688.0,68.0,-34.6282845698276
240531,992.0,992.0,68.0,-0.221842083499472
240501,992.0,699.0,68.0,-10.7161073368896
240522,1944.0,3912.0,68.0,10.3934854793627
631418,2815.0,1051.0,68.0,3.981652233702586
631410,4185.0,2815.0,68.0,-0.1452644068954851
240541,2199.0,42.0,68.0,-2.4968677096064
240484,42.0,699.0,68.0,-23.766316551406
240509,2815.0,3912.0,68.0,-23.8750901099697
631417,2815.0,2930.0,68.0,-3.574101407294755
240543,2815.0,992.0,68.0,2.20646771330599
631399,699.0,3587.0,68.0,-4.826011065743746
631420,2930.0,1944.0,68.0,-3.25583099490412
240515,2930.0,699.0,68.0,-61.1222919361634
240506,2815.0,699.0,68.0,-6.27711788570312
240469,949.0,992.0,68.0,-29.0880285099442
240536,4086.0,4086.0,68.0,-0.701520558660433
240498,992.0,1904.0,68.0,7.67776979705338
240471,949.0,3912.0,68.0,-13.5959164427699
240500,992.0,1944.0,68.0,-44.2359938588175
631415,2815.0,2199.0,68.0,-11.7229848718241
631411,4185.0,2930.0,68.0,-1.096524193523781
240495,1784.0,1688.0,68.0,-6.86136679953243
240544,1944.0,42.0,68.0,-1.84605718347843
631407,4185.0,699.0,68.0,-17.68776229924899
240487,42.0,3912.0,68.0,8.34221014140375
240534,1944.0,1944.0,68.0,-1.15075237480175
