drug_name,CID,ex_drug_id
BAY-41-8543,9953906,1034
vinpocetine,443955,1035
OXCARBAZEPINE,34312,1036
RANOLAZINE,56959,1037
Safinamide,131682,1038
proparacaine,4935,1039
lamotrigine,3878,1040
Benzamil,108107,1041
944261-79-4,16038374,1042
trifluoperazine,5566,1043
flecainide,3356,1044
Sipatrigine,60803,1045
AMILORIDE,16231,1046
primidone,4909,1047
VERAPAMIL,2520,1048
isradipine,3784,1049
flunarizine,941361,1050
tetrandrine,73078,1051
manidipine,4008,1052
CBiol_001725,4009,1053
Monatepil,60810,1054
Carboxyamidotriazole,108144,1055
NIGULDIPINE,1236,1056
Pregabalin,5486971,1057
34933-06-7,3076,1058
CHEMBL3348881,15068211,1059
Levetiracetam,5284583,1060
CHEMBL34450,6604957,1061
NPS-2143,6918446,1062
Cinacalcet,156419,1063
calindol,9882793,1064
Tecalcet,158797,1065
AC265347,52943938,1066
CHEMBL3348956,73265205,1067
Strontium ranelate,6918182,1068
gabapentin,3446,1069
Purfalcamine,24762166,1070
Dofetilide,71329,1071
glimepiride,3476,1072
glipizide,3478,1073
IBUTILIDE FUMARATE,5281065,1074
gliclazide,3475,1075
Linopirdine,3932,1076
nifekalant,4486,1077
minoxidil,4201,1078
NICORANDIL,47528,1079
LEVOSIMENDAN,3033825,1080
Zaldaride,65909,1081
Flupirtine,53276,1082
Retigabine,121892,1083
riluzole,5070,1084
CHEMBL1739063,9954540,1085
Org 25935,11740218,1086
Ivacaftor,16220172,1087
Lumacaftor,16678941,1088
Ataluren,11219835,1089
Ivabradine hydrochloride,3045381,1090
ICI-D7288,3938007,1091
409345-29-5,11313361,1092
Fenobam,135497698,1093
MPEP,3025961,1094
ADX-47273,11383075,1095
VU 0357121,2296132,1096
635318-11-5,9834591,1097
Piboserod,177336,1098
Mosapride,119584,1099
SDZ HTF 919,60918,1100
Prucalopride,3052762,1101
180083-23-2,3378093,1102
sumatriptan,5358,1103
naratriptan,4440,1104
rizatriptan,5078,1105
zolmitriptan,60857,1106
Almotriptan,123606,1107
SB 206553,5163,1108
WAY-100635,5684,1109
"LY-310,762",4282258,1110
BRL 15572,3654103,1111
fluvoxamine,5324346,1112
citalopram,2771,1113
venlafaxine,5656,1114
sibutramine,5210,1115
SCHEMBL10643980,934162,1116
Granisetron hydrochloride,65264,1117
ondansetron,4595,1118
89565-68-4,656665,1119
Azasetron,2264,1120
amoxapine,2170,1121
cyclobenzaprine,2895,1122
Meclinertant,119192,1123
Zibotentan,9910224,1124
Ambrisentan,6918493,1125
Macitentan,16004692,1126
CHEMBL3188521,44483281,1127
629664-81-9,10026128,1128
CHEMBL3348870,42552731,1129
GW9508,11595431,1130
AG-041R,9807431,1131
CI-988,108187,1132
MK-0354,11159621,1133
Varenicline,170361,1134
CYTISINE,10235,1135
levamisole,26879,1136
501925-31-1,311434,1137
711085-63-1,9795278,1138
PB-28,10474335,1139
Cutamesine,9907323,1140
BD-1047,188914,1141
SCH-79797,4259181,1142
NCGC00263108-01,57519546,1143
GB-83,49843509,1144
Aprepitant,135413536,1145
CHEMBL166161,3570748,1146
Osanetant,219077,1147
Cladribine,20279,1148
CHEMBL3349004,73265362,1149
NCGC00345810-01,73265372,1150
abt-702,1973,1151
NCGC00263139-01,57519536,1152
CHEMBL1625478,24867488,1153
CVT-6883,11270783,1154
theophylline,2153,1155
Vidarabine,21704,1156
Istradefylline,5311037,1157
Reversine,210332,1158
Kartogenin,2826191,1159
Cardiogenol C,11345983,1160
CHEMBL3348890,73265352,1161
Indolactam V,105000,1162
IDE 2,23836158,1163
Purmorphamine,5284329,1164
1262770-73-9,71304818,1165
211096-49-0,9841667,1166
CHEMBL39740,9849040,1167
Plerixafor,65015,1168
Maraviroc,3002977,1169
DSSTox_CID_28582,28582,1170
shikonin,479503,1171
176977-56-3,5311257,1172
Rimonabant,104850,1173
164178-33-0,4302963,1174
666260-75-9,10253143,1175
WIN 55212-2,5311501,1176
CHEMBL416657,4519262,1177
Veliflapon,123723,1178
Licofelone,133021,1179
ZILEUTON,60490,1180
CHEMBL1270810,44460130,1181
Masoprocol,71398,1182
celecoxib,2662,1183
Nepafenac,151075,1184
etodolac,3308,1185
133294-37-8,445154,1186
nimesulide,4495,1187
NAPROXEN,156391,1188
acetaminophen,1983,1189
diclofenac(1-),3032,1190
acemetacin,1981,1191
ibuprofen,3672,1192
meloxicam,54677470,1193
piroxicam,54676228,1194
zaltoprofen,5720,1195
Rutaecarpine,65752,1196
"2,4,5-TRIMETHOXYBENZALDEHYDE",20525,1197
niflumic acid,4488,1198
rofecoxib,5090,1199
Pravadoline,56463,1200
Nitogenin,99474,1201
rotenone,6758,1202
PF-3845,25154867,1203
546141-08-6,1383884,1204
NCGC00164604-03,57519539,1205
simvastatin,54454,1206
NCGC00164566-02,73265351,1207
lovastatin,53232,1208
NCGC00160531-01,73265363,1209
pravastatin,54687,1210
CHEMBL3348885,7067829,1211
CHEMBL2144690,57519513,1212
Anacetrapib,11556427,1213
Torcetrapib,159325,1214
CHEMBL1408258,2331284,1215
CAY-10581,24824610,1216
1-Methyl-D-tryptophan,405012,1217
Nitisinone,115355,1218
EBPC,54677973,1219
ellagic acid,5281855,1220
CHEMBL3182641,3235,1221
niraxostat,449035,1222
Febuxostat,134018,1223
allopurinol,135401907,1224
JZL184,25021165,1225
JZL195,46232606,1226
NCGC00165782-02,493027,1227
Ezatiostat,5310939,1228
BUTHIONINE SULFOXIMINE,21157,1229
439081-02-4,4979942,1230
1309805-49-9,57519543,1231
FASN BI,57519535,1232
GSK837149A,57519517,1233
CHEMBL213634,54706679,1234
"Lipase Inhibitor, THL",3034010,1235
pyrazinamide,1046,1236
CHEMBL3348869,6335004,1237
218137-86-1,4248455,1238
SCHEMBL82368,53396328,1239
cPEPCK inhibitor,447371,1240
Ecdysterone,5459840,1241
Glutaminase C-IN-1,3099980,1242
IPFK2,53348204,1243
1221186-53-3,44246499,1244
DASA-58,44543605,1245
NCGC00262689-01,56832449,1246
SCHEMBL11752,5201899,1247
IDH-C227,56645961,1248
AGI-5198,56645356,1249
AGI-6780,71299339,1250
AR-C155858,10226546,1251
NCGC00250393-01,57519509,1252
NCGC00238624,46926062,1253
ACC1 BMS,57519529,1254
Ibutamoren,178024,1255
Octreotide,448601,1256
QS11,42623900,1257
NCGC00263106-01,57519522,1258
Lacosamide,219078,1259
Eliprodil,60703,1260
Dimebolin,197033,1261
LSM-1535,64650,1262
memantine,4054,1263
tcn-201,4787937,1264
D-cycloserine,6234,1265
spermidine,1102,1266
Caroverine,65709,1267
GYKI-53655,126758,1268
Gyki-52466,3538,1269
Dapagliflozin C-2 Epimer,57519518,1270
CHEMBL3348871,73265326,1271
Phloretin 2'-galactoside,73265329,1272
GSK4112,50905018,1273
SR9011,57394021,1274
Sepantronium,10126189,1275
BIBR-1532,9927531,1276
Costunolide,5281437,1277
NCGC00096095-02,73265308,1278
347323-96-0,1362865,1279
NCGC00095055-03,73265318,1280
chloroxine,2722,1281
Pefloxacin,51081,1282
Sarafloxacin,56208,1283
sulfamethizole,5328,1284
Clindamycin palmitate HCl,16052038,1285
Balofloxacin,65958,1286
Prulifloxacin,65947,1287
Rac-Efavirenz,3203,1288
zalcitabine,24066,1289
stavudine,18283,1290
CHEMBL3348930,73265183,1291
145986-26-1,454519,1292
134680-32-3,73339,1293
FMAU,72327,1294
didanosine,135398739,1295
nevirapine,4463,1296
zidovudine,35370,1297
CHEMBL3348916,73265309,1298
IVACHTIN,11201705,1299
CHEMBL3348929,73265312,1300
Emricasan,12000240,1301
Aloe-emodin,10207,1302
29883-15-6,656516,1303
ZINC28538988,ZINC,1304
315183-21-2,135421197,1305
Necrostatin-1,2828334,1306
Spautin-1,51037431,1307
NCGC00262398,70789547,1308
tranexamic acid,5526,1309
6-aminohexanoic acid,564,1310
Tiplaxtinin,6450819,1311
NCGC00263265-01,57519524,1312
NCGC00263268-01,57519542,1313
NCGC00263270-01,57519526,1314
CHEMBL3348988,73265317,1315
NCGC00164600-03,60060499,1316
ZINC38139483,ZINC,1317
NCGC00346590-01,73265310,1318
quinidine,441074,1319
hydroxychloroquine,3652,1320
chloroquine,2719,1321
piperaquine,122262,1322
mefloquine,40692,1323
Halofantrine,37393,1324
Pyronaridine,107771,1325
CHEMBL3191144,108031,1326
Methylene Blue cation,4139,1327
daphnetin,5280569,1328
SULFADOXINE,17134,1329
Fludarabine,657237,1330
6-Mercaptopurine,667490,1331
6-Thioguanine,2723601,1332
K6PKX2PHVZ,451875,1333
Capecitabine (Xeloda),60953,1334
955-24-8,13071731,1335
NCGC00174736-02,73265182,1336
5-Fluorouracil,3385,1337
5-Fluorocytosine,3366,1338
carmofur,2577,1339
tegafur,5386,1340
ZINC21999985,ZINC,1341
Pemetrexed,135410875,1342
Raltitrexed,135400182,1343
Prestwick0_001056,490037,1344
3094/9/5,18343,1345
GEMCITABINE HYDROCHLORIDE,60749,1346
methotrexate,126941,1347
Pralatrexate,148121,1348
trimetrexate,5583,1349
pyrimethamine,4993,1350
54-62-6,169371,1351
NCGC00346501-01,73265327,1352
CHEMBL3348961,73265323,1353
NCGC00162383-02,73265184,1354
DAPTOMYCIN,21585658,1355
NCGC00094763-03,73265322,1356
NCGC00346728-01,73265306,1357
NCGC00163548-02,73265328,1358
CHEBI:94798,12309103,1359
CHEMBL3348955,73265316,1360
CHEMBL3348925,73265325,1361
CHEMBL3348874,73265324,1362
NCGC00346523-01,73265305,1363
NCGC00090808-03,73265311,1364
roxithromycin,6915744,1365
SCHEMBL13210325,13048688,1366
CHEMBL3348879,73265197,1367
NCGC00346524-01,73265190,1368
NCGC00179454-04,73265358,1369
Tigecycline,54686904,1370
NCGC00263527-02,73265199,1371
NCGC00263944-01,73265200,1372
NCGC00178852-05,73265187,1373
Framycetin sulfate,197162,1374
NCGC00016641-01,73265355,1375
tetracycline,54675776,1376
linezolid,441401,1377
CHEMBL3348928,73265194,1378
CHEMBL3348848,46930984,1379
CHEMBL3856067,17571905,1380
96036-03-2,441130,1381
1beta-Methylimipenem,Japan Chemical Substance Dictionary,1382
Tebipenem pivoxil,9892071,1383
1-(1-Naphthylmethyl)piperazine,701891,1384
CHEMBL3348872,656574,1385
CHLORAMPHENICOL PALMITATE,443382,1386
sulfapyridine,5336,1387
sulfameter,5326,1388
sulfaphenazole,5335,1389
sulfisoxazole,5344,1390
sulfamethoxazole,5329,1391
sulfadimethoxine,5323,1392
Nitrofurazonum,5447130,1393
chloramphenicol,5959,1394
sulfadiazine,5215,1395
metronidazole,4173,1396
2-Nitroimidazole,10701,1397
NCGC00346609-01,73265204,1398
Lincomycin hydrochloride,64710,1399
NCGC00017354-06,73265186,1400
thiamphenicol,27200,1401
Hordenine,68313,1402
oxytetracycline,54675779,1403
NCGC00016645-01,54685047,1404
minocycline,54675783,1405
aztreonam,5742832,1406
Oxacillin sodium salt,23667631,1407
cloxacillin(1-),6426741,1408
NCGC00016797-04,28094875,1409
SULBACTAM,130313,1410
ofloxacin,4583,1411
Marbofloxacin,60651,1412
enoxacin,3229,1413
nalidixic acid,4421,1414
fleroxacin,3357,1415
lomefloxacin,3948,1416
cefaclor,51039,1417
27726-35-8,194216,1418
cephradine,38103,1419
cefdinir,6915944,1420
CHEMBL1316023,6604593,1421
cefditoren pivoxil,6437877,1422
Ceftiofur,6328657,1423
Cefprozil monohydrate,6436628,1424
NCGC00016552-01,441328,1425
NCGC00185071-01,135761164,1426
mesna,23662354,1427
Mesna disulfide,65625,1428
NCGC00166236-01,2723920,1429
altretamine,2123,1430
mitotane,4211,1431
4-methylumbelliferone,5280567,1432
Nefiracetam,71157,1433
chlormezanone,2717,1434
Etomidate,667484,1435
felbamate,3331,1436
Indiplon,6450813,1437
Eszopiclone,969472,1438
Osthole,10228,1439
flumazenil,3373,1440
Dihydromyricetin,161557,1441
NCGC00346666-01,5281046,1442
Ginkgolide B,65243,1443
Bilobalide,73581,1444
TETRAHYDROPAPAVERINE,5418,1445
Ki16425,10367662,1446
mocravimod,11155874,1447
BAF312,44599207,1448
BTZ043 Racemate,49769085,1449
prothionamide,666418,1450
isoniazid,3767,1451
ethionamide,2761171,1452
NITAZOXANIDE,41684,1453
DICLAZURIL,456389,1454
Secnidazole,71815,1455
EMETINE,10219,1456
mebendazole,4030,1457
praziquantel,4891,1458
thiabendazole,5430,1459
Oxfendazole,40854,1460
Albendazole oxide,83969,1461
Flubendazole,35802,1462
fenbendazole,3334,1463
Spectrum_000880,31043,1464
CLORSULON,43231,1465
DSSTox_CID_20664,20664,1466
Mecarbinate,616236,1467
Arbidol,131411,1468
Moroxydine,71655,1469
Varespladib,155815,1470
CHEMBL3348905,73265193,1471
Odanacatib,10152654,1472
CHEMBL3348989,73265357,1473
CHEMBL3348944,73265198,1474
TRAM-34,656734,1475
Melatonin,896,1476
"b-D-Glucopyranoside, 4-hydroxyphenyl",440936,1477
(E/Z)-ferulic acid,709,1478
CHEMBL3348900,73265201,1479
idebenone,3686,1480
NCGC00346613-01,73265353,1481
Octocrylene,22571,1482
Visudyne,5362420,1483
Avobenzone,51040,1484
trioxsalen,5585,1485
rose bengal(2-),3856851,1486
edaravone,4021,1487
rebamipide,5042,1488
Indinavir sulfate,5462355,1489
ritonavir,392622,1490
Lopinavir,92727,1491
Atazanavir,148192,1492
Darunavir,213039,1493
SCHEMBL2671137,441385,1494
NCGC00090782-07,73265381,1495
BMS-707035,54682040,1496
Elvitegravir,5277135,1497
Raltegravir,54671008,1498
Dolutegravir,54726191,1499
MK-2048,54698642,1500
357263-14-0,5495819,1501
fluconazole,3365,1502
Antimycin A,14957,1503
CHEMBL3348942,73265408,1504
nystatin,6433272,1505
Amorolfine,54260,1506
Butoconazole,47472,1507
tioconazole,5482,1508
FENTICONAZOLE,51755,1509
CICLOPIROX,2749,1510
Isoconazole,3760,1511
econazole,3198,1512
CPI-613,24770514,1513
Terbinex,1549008,1514
Liranaftate,3936,1515
tolnaftate,5510,1516
ITMN191,11285588,1517
SCHEMBL12175228,59669121,1518
CHEMBL3348843,59428238,1519
CHEMBL3348829,5483090,1520
bumetanide,2471,1521
furosemide,3440,1522
Torasemide,41781,1523
BISOPROLOL,2405,1524
ZINC43163828,ZINC,1525
dobutamine,36811,1526
Nebivolol hydrochloride,11626384,1527
betaxolol,2369,1528
carvedilol,2585,1529
sotalol,5253,1530
PROCATEROL,4916,1531
Salbutamol,2083,1532
DU-21220,688570,1533
isoproterenol,3779,1534
phentolamine,5775,1535
doxazosin,3157,1536
naftopidil,4418,1537
alfuzosin,2092,1538
prazosin,4893,1539
Racemic Tamsulosin,121829,1540
CHEMBL3348946,656628,1541
terazosin,5401,1542
trazodone,5533,1543
Synephrine,7172,1544
clonidine,2803,1545
phenylephrine,6041,1546
oxymetazoline,4636,1547
xylometazoline,5709,1548
Dronedarone,208898,1549
(+)-Usnic acid,442614,1550
phenoxybenzamine,4768,1551
PSEUDOYOHIMBINE,251562,1552
tizanidine,5487,1553
epinephrine,5816,1554
norepinephrine,439260,1555
ketoconazole,456201,1556
aminoglutethimide,2145,1557
miconazole,4189,1558
letrozole,3902,1559
anastrozole,2187,1560
formestane,11273,1561
methyltestosterone,6010,1562
CHEMBL3348860,73265344,1563
FLUOCINOLONE ACETONIDE,6215,1564
NCGC00161834-01,73265382,1565
SR-01000075723,6710614,1566
ZINC97975747,ZINC,1567
NCGC00179649-07,7048968,1568
NCGC00021925-04,13018151,1569
meprednisone,5284587,1570
NCGC00016330-01,6741,1571
TRIAMCINOLONE ACETONIDE,6436,1572
BETAMETHASONE DIPROPIONATE,21800,1573
BETAMETHASONE VALERATE,16533,1574
CHEMBL3349012,7067809,1575
CHEMBL3348884,73265413,1576
CHEMBL1394734,16757783,1577
Loteprednol etabonate,444025,1578
DESONIDE,5311066,1579
CHEMBL3348838,73265409,1580
mometasone furoate,441336,1581
FLUTICASONE PROPIONATE,444036,1582
CLOBETASOL PROPIONATE,32798,1583
dexamethasone,5743,1584
Nandrolone phenpropionate,229455,1585
SR-05000001623,6710658,1586
CHEMBL3348954,73265415,1587
SCHEMBL6464278,7048561,1588
NCGC00090797-11,73265414,1589
CHEMBL3349010,73265412,1590
NCGC00179363-03,25749183,1591
145-13-1,8955,1592
CHEMBL3348847,12358477,1593
"ergosta-5,7,22-trien-3-ol",247705,1594
CHEMBL3348926,73265343,1595
CHEMBL3348849,73265407,1596
NCGC00017244-05,12310282,1597
CHEMBL3348967,73265402,1598
CHEMBL3348914,73265399,1599
CHEMBL3348894,73265403,1600
PA-824,456199,1601
TRIMETHYL GLYCINE,248,1602
JS-K,9572720,1603
NCGC00346969-01,72664381,1604
CHEMBL3184424,73068460,1605
CHEMBL3348982,73265411,1606
2-iminobiotin,128878,1607
L-NAME,39836,1608
mifepristone,55245,1609
Megestryl acetate,11683,1610
CHEMBL3348947,7048585,1611
CHEMBL3348934,73265401,1612
CHEMBL3348935,73265396,1613
ZINC22059945,ZINC,1614
progesterone,5994,1615
CHEMBL3348910,29985980,1616
17-Hydroxypregn-4-en-20-yn-3-one,3288,1617
HYODEOXYCHOLIC ACID,5283820,1618
CHEMBL3349015,73265292,1619
CHEMBL3348950,73265302,1620
NCGC00263148-01,57519533,1621
426219-18-3,9883029,1622
SCHEMBL2610023,16760554,1623
Roxadustat,11256664,1624
IOX2,54685215,1625
yc-1,5712,1626
L-thyroxine,5819,1627
Nelarabine,3011155,1628
hexestrol,192197,1629
143945-86-2,6604437,1630
Eltrombopag,135449332,1631
cromoglycate(2-),2881,1632
Suplatast,71774,1633
Acitazanolast,2006,1634
CHEMBL3348899,12047199,1635
Olopatadin,5281071,1636
amlexanox,2161,1637
dyphylline,3182,1638
Ipratropium bromide hydrate,16738693,1639
METHSCOPOLAMINE BROMIDE,5459110,1640
ZINC101112865,ZINC,1641
trospium chloride,5284631,1642
CHEMBL258622,15057856,1643
124936-75-0,16725073,1644
207679-81-0,9819382,1645
oxybutynin,4634,1646
orphenadrine,4601,1647
Fesoterodine,6918558,1648
OTILONIUM,72093,1649
Triethylgallamine,3450,1650
amiodarone,2157,1651
irsogladine maleate,5282435,1652
L-Hyoscyamine,154417,1653
ZINC242723022,ZINC,1654
bethanechol,2370,1655
arecoline,2230,1656
BI-671800,45270144,1657
CRTh2 antagonist 2,9826188,1658
Ramatroban,123879,1659
tm30089,11384493,1660
CHEMBL387477,35028115,1661
CHEMBL3348883,73265304,1662
15(S)-Fluprostenol isopropyl ester,35023509,1663
SERATRODAST,2449,1664
Atracurium besylate,47320,1665
NCGC00346664-01,73265301,1666
methocarbamol,4107,1667
carisoprodol,2576,1668
hydralazine,3637,1669
CHEMBL3348952,73265290,1670
Zoledronic acid,68740,1671
Risedronate sodium,4194514,1672
NCGC00346531-01,73265297,1673
Prasugrel,6918456,1674
clopidogrel,60606,1675
ticlopidine,5472,1676
Apixaban,10182969,1677
Xarelto,9875401,1678
warfarin,54678486,1679
Nafamostat,4413,1680
NCGC00185736-01,147912,1681
Voriconazole,71616,1682
clotrimazole,2812,1683
mianserin,4184,1684
Ziprasidone,60854,1685
mirtazapine,4205,1686
Ketanserin,3822,1687
Aripiprazole,60795,1688
Agomelatine,82148,1689
Telotristat etiprate,25253377,1690
tetrahydropalmatine,5417,1691
Ramelteon,208902,1692
amisulpride,2159,1693
CHEMBL317493,44329754,1694
Sumanirole,9818479,1695
Asenapine,3036780,1696
fenoldopam,3341,1697
FLUPHENAZINE,3372,1698
Prochlorperazine dimaleate,5281032,1699
Iloperidone,71360,1700
risperidone,5073,1701
haloperidol,3559,1702
sulpiride,5355,1703
olanzapine,135398745,1704
pramipexole,119570,1705
clozapine,135398737,1706
amantadine,2130,1707
domperidone,3151,1708
Diclofensine,68871,1709
bupropion,444,1710
67469-78-7,104920,1711
Gbr 12935,3456,1712
maprotiline,4011,1713
Dapoxetine,71353,1714
duloxetine,60835,1715
clomipramine,2801,1716
5-hydroxy-L-tryptophan,439280,1717
Nepicastat,9796181,1718
TETRABENAZINE,6018,1719
1-beta-D-Xylofuranosyluracil,11064619,1720
ethosuximide,3291,1721
Isoreserpin,5052,1722
Caffeine citrate,6241,1723
taurine,1123,1724
Skf 89976A,92409,1725
Lubiprostone,157920,1726
BALSALAZIDE,54585,1727
Rilmenidine,68712,1728
MOXONIDINE,4810,1729
chlorothiazide,2720,1730
hydrochlorothiazide,3639,1731
Conivaptan,151171,1732
Tolvaptan,216237,1733
trichlormethiazide,5560,1734
D-Sorbitol,5780,1735
Aloin B,14989,1736
Racecadotril,107751,1737
argatroban,92722,1738
Dabigatran,216210,1739
Glycyrrhizic acid,14982,1740
Dabigatran etexilate mesylate,135566083,1741
CHEMBL3349002,73265289,1742
Atopaxar,10459564,1743
methyldopa,38853,1744
benserazide,2327,1745
dl-Carbidopa,2563,1746
EFLORNITHINE,3009,1747
aniracetam,2196,1748
pramiracetam,51712,1749
CHEMBL3348886,59652905,1750
CHEMBL492193,908828,1751
rivastigmine,77991,1752
Huperzine A,854026,1753
Tacrine,1935,1754
Monobenzone,7638,1755
348622-88-8,9818682,1756
ADAPALENE,60164,1757
9-cis Acitretin,29971118,1758
malotilate,4006,1759
NCGC00346433-01,73265293,1760
oseltamivir,65028,1761
CHEMBL3348924,51885747,1762
rimantadine,5071,1763
1-DOCOSANOL,12620,1764
9-BETA-D-XYLOFURANOSYL-ADENINE,447916,1765
SCHEMBL10015658,511644,1766
CHEMBL1625829,498102,1767
Limonin,179651,1768
famciclovir,3324,1769
Pizotifen,27400,1770
Erdosteine,65632,1771
bromhexine,2442,1772
MK-3207,25019940,1773
biperiden,2381,1774
levodopa,6047,1775
selegiline,26757,1776
Rasagiline mesylate,3052775,1777
formononetin,5280378,1778
Phenelzine,3675,1779
NSC 242267,638024,1780
tranylcypromine,19493,1781
dopamine,681,1782
ZINC11616261,ZINC,1783
mycophenolate mofetil,5281078,1784
Spectrum_001978,4272,1785
SCHEMBL326516,40629571,1786
AVN-944,9918559,1787
Gimeracil,54679224,1788
ADL5859,11417954,1789
naltrexone,5360515,1790
loperamide,3955,1791
Matrine,91466,1792
Oxymatrine,114850,1793
MCOPPB,24800108,1794
JTC-801 free base,5311340,1795
SCHEMBL1946862,57468496,1796
SB-612111,10047612,1797
Norbinaltorphimine,5480230,1798
Cyprodime,5748293,1799
Metenkephalin,73265283,1800
phloretin,4788,1801
CHEMBL3348895,73265294,1802
MK-8245,24988881,1803
NCGC00160515-03,73265284,1804
ZINC3831133,ZINC,1805
Repaglinide,65981,1806
NCGC00346729-01,73265296,1807
nateglinide,5311309,1808
Fasiglifam,24857286,1809
GSK1292263,24996872,1810
ZINC139045355,ZINC,1811
PHENFORMIN,8249,1812
dorzolamide,5284549,1813
metolazone,4170,1814
indapamide,3702,1815
sulfanilamide,5333,1816
dichlorphenamide,3038,1817
Tioxolone,72139,1818
CHEMBL3348953,73265281,1819
CHEMBL3348824,3246906,1820
Prostaglandin E2,5280360,1821
CHEMBL3348975,73265287,1822
Buflomedil,2467,1823
34031-32-8,24199313,1824
PX-12,219104,1825
propylthiouracil,657298,1826
PAEONOL,11092,1827
CHEMBL3348948,73265288,1828
Coenzyme Q10,5281915,1829
CHEMBL3348918,73265282,1830
PERHEXILINE,4746,1831
Deferasirox,214348,1832
HEMATOXYLIN,442514,1833
D-Penicillamine,5852,1834
tiopronin,5483,1835
Aliskiren,5493444,1836
cytarabine,6253,1837
meglumine,8567,1838
2-Deoxy-D-galactopyranose,439804,1839
Pentitol,827,1840
NCGC00142624-04,73265279,1841
aspartame,134601,1842
NCGC00091109-03,73265295,1843
pentagastrin,9853654,1844
Indole-3-butyric acid,8617,1845
kinetin,3830,1846
Bracken fern toxic component,8742,1847
CHEMBL3186547,83218,1848
Alibendol,71916,1849
CHEMBL3348941,2304885,1850
Rhein,10168,1851
Orotic acid,967,1852
288150-92-5,4331799,1853
CHEMBL3348892,73265286,1854
ipriflavone,3747,1855
CHEBI:93770,44828485,1856
Cyclovirobuxine D,260439,1857
propafenone,4932,1858
carbazochrome sodium sulfonate,135705561,1859
STF-62247,704473,1860
RIFABUTIN,135415564,1861
NCGC00016752-02,73265278,1862
CHEMBL3348959,7092625,1863
proscillaridin,5284613,1864
Ciclopirox olamine,38911,1865
(-)-Ethyl apovincaminate,105066,1866
tamoxifen,2733526,1867
Tocris-1479,6604870,1868
thapsigargin,446378,1869
prochlorperazine,4917,1870
Daporinad,6914657,1871
GSK-J4,71729975,1872
Flavopiridol hydrochloride,9910986,1873
RALOXIFENE HYDROCHLORIDE,54900,1874
CYTARABINE HYDROCHLORIDE,6252,1875
23541-50-6,62770,1876
Navelbine ditartrate (TN),25136944,1877
CHEMBL17639,1546,1878
5-Fluoro-2'-deoxyuridine,5790,1879
Fludarabine Base,3367,1880
Antibiotic AD 32,454216,1881
Procarbazine hydrochloride,9703,1882
Romidepsin,5352062,1883
Carboplatinum,38904,1884
Tamoxifen citrate,2733525,1885
122111-05-1,46781465,1886
7803-88-5,96312,1887
"Azacytidine, 5-",1805,1888
CHEMBL277800,354624,1889
Co-V,439693,1890
Retinoic acid,444795,1891
Eloxatin (TN) (Sanofi Synthelab),24197464,1892
MITHRAMYCIN,163659,1893
Antibiotic AY 22989,5284616,1894
158798-73-3,400633,1895
Fulvestrant,104741,1896
Triethylenemelamine,5799,1897
bleomycin,5360373,1898
Vincristine sulfate,249332,1899
Bendamustine hydrochloride,77082,1900
TOPOTECAN HYDROCHLORIDE,60699,1901
ADM hydrochloride,443939,1902
NSC733504,6442177,1903
Sunitinib,5329102,1904
Uramustine,6194,1905
Melphalan hydrochloride,9927978,1906
5-Aminolevulinic acid hydrochloride,123608,1907
55-86-7,5935,1908
docetaxel,148124,1909
amifostine,2141,1910
pipobroman,4842,1911
Vinblastine sulfate,5388983,1912
Vepesid J,36462,1913
NSC-127716,451668,1914
teniposide,452548,1915
Quinacrine hydrochloride,6239,1916
Zanosar,23615975,1917
Erlotinib hydrochloride,176871,1918
MEGESTROL ACETATE,11683,1919
EXEMESTANE,60198,1920
Emcyt (Pharmacia),54611422,1921
Ixabepilone,6445540,1922
cis-Platin,5460033,1923
Pazopanib hydrochloride,11525740,1924
Abiraterone,132971,1925
Axitinib,6450551,1926
Trisenox,261004,1927
NSC256439,42890,1928
NSC707389,54611489,1929
(-)-Epigallocatechin gallate,65064,1930
(-)-huperzine A,449069,1931
(-)-MK 801 Maleate,16219612,1932
parthenolide,7251185,1933
(+)-Bicuculline,10237,1934
Octopamine hydrochloride,102484,1935
1-Hexadecanol,2682,1936
32981-86-5,154272,1937
10058-F4,1271002,1938
Tanespimycin,6505803,1939
17-DMAG (Alvespimycin) HCl,9852573,1940
2-Methoxyestradiol,66414,1941
2-thiouracil,1269845,1942
20-HYDROXYECDYSONE,5459840,1943
3-Deazaneplanocin,73087,1944
4-Aminohippuric acid,2148,1945
14003-96-4,12934390,1946
5-hydroxytryptophan,144,1947
7-Aminocephalosporanic acid,441328,1948
8-AZAGUANINE,135403646,1949
251992-66-2,9839311,1950
1166227-08-2,42636535,1951
959122-11-3,24768261,1952
Abiraterone acetate,9821849,1953
ACADESINE,17513,1954
acarbose,41774,1955
Acebutolol hydrochloride,441307,1956
Aceclidine hydrochloride,170367,1957
Acesulfame potassium,11074431,1958
acetanilide,904,1959
acetarsol,1985,1960
ACETYLCHOLINE CHLORIDE,6060,1961
N-Acetyl-L-cysteine,12035,1962
Acitretin,5284513,1963
Aclidinium bromide,11519741,1964
Adenine hydrochloride,76219,1965
adenosine,60961,1966
Adiphenine hydrochloride,5763,1967
AdipoRon,16307093,1968
850173-95-4,46931003,1969
Adrenalone hydrochloride,66136,1970
Afatinib,10184653,1971
Tyrphostin 23,2052,1972
133550-30-8,5328779,1973
albendazole,2082,1974
alfacalcidol,5282181,1975
