,drug_row,drug_col,cell_line_name,synergy_loewe
618325,4240.0,827.0,130.0,-1.68096669916482
618236,345.0,827.0,129.0,2.38747026874274
618332,3023.0,216.0,130.0,7.31960021662298
618341,345.0,252.0,130.0,7.36409871806405
618307,4240.0,556.0,130.0,10.1048003745584
618260,3023.0,751.0,129.0,-0.129597033215597
618182,296.0,556.0,129.0,13.8020322694319
618290,341.0,4077.0,130.0,8.64314828824912
618218,331.0,331.0,129.0,-3.49249431361867
618234,3023.0,827.0,129.0,2.48226911458647
618293,329.0,4077.0,130.0,6.32731682513506
618212,252.0,556.0,129.0,26.1619050616128
618213,2490.0,556.0,129.0,8.06300736721481
618211,216.0,556.0,129.0,1.59321406665195
618329,2490.0,216.0,130.0,4.5946583100249
618270,4240.0,4240.0,129.0,-2.56241037555161
618239,2490.0,216.0,129.0,-2.13585996106521
618202,345.0,4077.0,129.0,11.6565369521442
618306,3023.0,556.0,130.0,1.57829793294269
618233,283.0,827.0,129.0,5.62171799417624
618210,827.0,556.0,129.0,7.58662354466347
618271,345.0,4240.0,129.0,-0.0003875771135501
618285,296.0,4077.0,130.0,4.21643084900632
618356,345.0,283.0,130.0,9.39327634151075
618243,4240.0,216.0,129.0,-9.01904360878173
618220,216.0,331.0,129.0,-0.029927855782993
618326,345.0,827.0,130.0,14.512295079969
618280,329.0,556.0,130.0,13.1417495769404
618353,283.0,283.0,130.0,0.0373051338088122
618225,3023.0,331.0,129.0,6.73161924664065
618286,300.0,4077.0,130.0,5.70006061946285
618359,345.0,3023.0,130.0,22.7755445381919
618262,345.0,751.0,129.0,5.05215509206182
618355,4240.0,283.0,130.0,-0.298840896478776
618351,4240.0,751.0,130.0,-0.427165616303708
618249,3023.0,252.0,129.0,14.6568241279111
618188,352.0,556.0,129.0,11.9876434104709
618291,352.0,4077.0,130.0,9.96733272188068
618323,283.0,827.0,130.0,4.72637537041748
618245,252.0,252.0,129.0,1.78232030121581
618227,345.0,331.0,129.0,7.53569712752902
618281,325.0,556.0,130.0,11.1218764907263
618226,4240.0,331.0,129.0,5.3477150365625
618346,4240.0,2490.0,130.0,12.5720131565901
618193,331.0,556.0,129.0,-0.0004186315686316
618237,216.0,216.0,129.0,3.01958081074194
618273,300.0,556.0,130.0,6.374009407118
618297,1483.0,4077.0,130.0,-12.5586227980115
618289,343.0,4077.0,130.0,1.52336251676889
618337,751.0,252.0,130.0,6.00328435384039
618343,751.0,2490.0,130.0,11.2887444003834
618194,1483.0,556.0,129.0,4.46350740186554
618199,343.0,4077.0,129.0,4.92184214522411
618322,751.0,827.0,130.0,5.22878715990808
618328,252.0,216.0,130.0,5.32553876568669
618186,343.0,556.0,129.0,15.8304886694356
618204,325.0,4077.0,129.0,7.74121642975821
618230,252.0,827.0,129.0,7.34035531819402
618275,359.0,556.0,130.0,-10.3905463891463
618334,345.0,216.0,130.0,-4.04699906346504
618189,345.0,556.0,129.0,-0.0003745735080447
618312,2490.0,331.0,130.0,0.354190802244421
618185,359.0,556.0,129.0,12.2691331838734
618336,2490.0,252.0,130.0,2.82233382410091
618251,345.0,252.0,129.0,12.5139718252042
618246,2490.0,252.0,129.0,1.67863952520547
618316,4240.0,331.0,130.0,6.97801652955535
618241,283.0,216.0,129.0,2.98697847697434
618317,345.0,331.0,130.0,11.2765293834266
618261,4240.0,751.0,129.0,-1.01136326578721
618358,4240.0,3023.0,130.0,6.1454322523865
618284,1483.0,556.0,130.0,-2.04811701096602
618352,345.0,751.0,130.0,5.60838366934501
618301,216.0,556.0,130.0,3.82081121536292
618235,4240.0,827.0,129.0,2.38817441461536
618257,345.0,2490.0,129.0,1.85038301670928
618298,2373.0,420.0,130.0,-31.0053127989625
618244,345.0,216.0,129.0,-2.30792938269466
618295,334.0,4077.0,130.0,1.38078699121892
618340,4240.0,252.0,130.0,4.55049481929535
618209,556.0,556.0,129.0,-2.1304197230337
618256,4240.0,2490.0,129.0,2.21684631377899
618279,345.0,556.0,130.0,-0.0003745735080447
618224,283.0,331.0,129.0,-12.0832799471356
618354,3023.0,283.0,130.0,5.24983149630214
618259,283.0,751.0,129.0,-0.460732539201716
618263,283.0,283.0,129.0,-0.505307154314173
618342,2490.0,2490.0,130.0,0.236330286809868
618229,216.0,827.0,129.0,0.732536970389792
618219,827.0,331.0,129.0,0.847212837086026
618321,2490.0,827.0,130.0,4.48555192407915
618350,3023.0,751.0,130.0,0.716174232786534
618184,295.0,556.0,129.0,13.2261360951267
618248,283.0,252.0,129.0,5.62774045932056
618344,283.0,2490.0,130.0,-1.37554750000233
618315,3023.0,331.0,130.0,3.37418025119754
618310,216.0,331.0,130.0,-3.72107735949821
618330,751.0,216.0,130.0,0.980751649362556
618294,325.0,4077.0,130.0,8.9904695306415
618277,341.0,556.0,130.0,8.05320654609496
618335,252.0,252.0,130.0,-0.610590135964718
618361,345.0,4240.0,130.0,-0.0003875771135501
618207,1483.0,4077.0,129.0,-11.0740165481954
618274,295.0,556.0,130.0,10.0945765039914
618319,216.0,827.0,130.0,4.54276955647539
618200,341.0,4077.0,129.0,6.36256124776906
618302,252.0,556.0,130.0,7.60498769694371
618313,751.0,331.0,130.0,-0.588803992684132
